X,Y,TileID
23,8,NaN
24,8,NaN
28,8,NaN
29,8,NaN
33,8,NaN
34,8,NaN
38,8,NaN
39,8,NaN
43,8,NaN
44,8,NaN
48,8,NaN
49,8,NaN
3,21,NaN
4,21,NaN
8,21,NaN
9,21,NaN
13,21,NaN
14,21,NaN
18,21,NaN
19,21,NaN
23,21,NaN
24,21,NaN
28,21,NaN
29,21,NaN
33,21,NaN
34,21,NaN
38,21,NaN
39,21,NaN
43,21,NaN
44,21,NaN
48,21,NaN
49,21,NaN
53,21,NaN
54,21,NaN
58,21,NaN
59,21,NaN
63,21,NaN
64,21,NaN
68,21,NaN
69,21,NaN
4,26,NaN
8,26,NaN
12,26,NaN
16,26,NaN
20,26,NaN
28,26,NaN
32,26,NaN
36,26,NaN
40,26,NaN
44,26,NaN
52,26,NaN
56,26,NaN
60,26,NaN
64,26,NaN
68,26,NaN
4,31,NaN
8,31,NaN
12,31,NaN
16,31,NaN
20,31,NaN
24,31,NaN
28,31,NaN
32,31,NaN
36,31,NaN
40,31,NaN
44,31,NaN
48,31,NaN
52,31,NaN
56,31,NaN
60,31,NaN
64,31,NaN
68,31,NaN
4,36,NaN
8,36,NaN
12,36,NaN
16,36,NaN
20,36,NaN
28,36,NaN
32,36,NaN
36,36,NaN
40,36,NaN
44,36,NaN
52,36,NaN
56,36,NaN
60,36,NaN
64,36,NaN
68,36,NaN
4,41,NaN
8,41,NaN
12,41,NaN
16,41,NaN
20,41,NaN
24,41,NaN
28,41,NaN
32,41,NaN
36,41,NaN
40,41,NaN
44,41,NaN
48,41,NaN
52,41,NaN
56,41,NaN
60,41,NaN
64,41,NaN
68,41,NaN
